Bindeglied zu Hausverwaltung;Name;Adresse;Ort;PLZ;EU-Kunde;Name 5;Leistungszeitraum;Kopftext
IMV;Fabrikstraße 26-28/Lüfteneggerstraße 2;Ringstraße 18;Linz;4010;0;nz;;IMMOFINANZ Aleos Anlagen Leasing GmbH    
Arealis;Falkestraße 1;Robert-Löffler-Straße 30 Objektnr. 774;Wien;1010;1;10;;Am die Hausinhabung des Hauses  Falkestraße 1 1010 Wien
Kantor;Falkestraße 3;Roseggerstraße 18;Wien;1010;0;nz;; MKI Management GmbH   
Nemeth;Fanny-Essler-Gasse 4;Rosensteingasse 92-92a;Eisenstadt;7000;0;11;;An die Hi des Hauses  Fanny-Essler-Gasse 4 7000 Eisenstadt
IMV;Fasangartengasse 18;Roßauer Lände 29;Wien;1130;13;4;;WEG Fasangartengasse 18    
Arealis;Fasangartengasse 19A;Ruckergasse 20;Wien;1130;13;7;; An die WEG des Hauses Fasangartengasse 19A 1130 Wien
IMV;Fasangartengasse 27;Ruckergasse 63;Wien;1130;13;04 10;Nein, ; WEG Fasangartengasse 27   
ONLINE;Fasangasse 10;Rudolf Hirschstraße 2;Wien;1030;3;05 11;; Palmers AG   
Schönere Zukunft1;Fasangasse 398;Salesianergasse 16;Hoheneich;3945;0;6;;    
HV Schneeweiss;Fasangasse 50;Salitergasse 26 1+2;Wien;1030;3;nz;; HI d. Hauses Fasangasse 50 1030 Wien
ONLINE;Fasangasse 51;Salzachstraße 15;Wien;1030;3;nz;; R. u. J. Klein Familien-Privatstiftung   
IMV;Fasangasse 55;Salzachstraße 34;Wien;1030;3;6;Nein, ;MEG Fasangasse 55    
HV Frieden;Fasanweg 8-10;Salzergasse 8-10;Mistelbach;2130;0;nz;;    
IMV;Favoritenstraße 161;Schanzstraße 15-17;Wien;1100;10;7;Dimmi, ;Christine Conrad-Eybesfeld und Dr. Manfred Car   
IMV;Favoritenstraße 29-31;Schegargasse 14a;Wien;1040;4;3;;Walter Immo-Real LKW Walter AG & Co OHG    
IMV;Favoritenstraße 7;Schelleingasse 37;Wien;1040;4;6;;Palais Carl Ludwig Betriebs GmbH    
Energeia;Felberstraße 116;Schenkendorfgasse 3-5;Wien;1150;15;11;;Hi des Hauses  Felberstraße 116 1150 Wien
Resag Home;Felberstraße 86/Kröllgasse 1;Schenkendorfgasse 64;Wien;1150;15;6;;HI des Hauses  Felberstraße 86 1150 Wien
IMV;Feldmühlgasse 12;Scheydgasse 21-25;Wien;1130;13;5;; WEG Feldmühlgasse 12, 1130 Wien   
brichard;Feldmühlgasse 9;Schiffmühlenstraße 85-89;Wien;1130;13;05 11;;WEG Feldmühlgasse 9    
Schönere Zukunft1;Feldstraße 8/9/10/11 Stiege 3,4,5 und 6;Schindlergasse 54;Ferschnitz;3324;;nz;Nein, ;    
ONLINE;Felsgasse 9;Schlickgasse 5;Wien;1110;11;6;;Hausinhabung  Felsgasse 9 1110 Wien
IS Immobilien;Fenzlgasse 3;Schlossgasse 1;Wien;1150;15;8;;ATU61659002 An die WEG des Hauses Fenzlgasse 3 1150 Wien
Haunschmidt;Ferdinand Fleischmanngasse 5/ RH3;Schloßhoferstraße 58;Mödling;2340;0;nz;;EG Ferdinand Fleischmanngasse 5+5a 2340 Mödling   
Haunschmidt;Ferdinand Fleischmann-Gasse 5+5a;Schlüsselgasse 5;Mödling;2340;0;5;;EG Ferdinand Fleischmanng. 5 Vertreten durch:   
Lebeda;Ferdinand Raimundgasse 7;Schmalzhofgasse 18;Maria Enzersdorf;;0;nz;;    
Arealis;Fernkorngasse 10/Hasengasse 56;Schmidgasse 2;Wien;1100;10;7;; An die Hausinhabung des Hauses Fernkorngasse 10/Hasengasse 56 1100 Wien
IMV;Ferrogasse 12-14;Schönbrunner Straße 48;Wien;1180;18;05 11;Nein, ; WEG Ferrogasse 12-14   
Schönere Zukunft;Ferrogasse 61 Tanzer Haus;Schönbrunnerstraße 46;Wien;1180;18;3;Nein, ;WEG  Ferrogasse 61 1180 Wien
Nick;Fichtnergasse 12;Schönlaterngasse 13;Wien;1130;13;nz;;An die Eigentümergemeinschaft Fichtnergasse 12 1130 Wien
Schönere Zukunft;Fillenbaumgasse 41-43;Schönlaterngasse 9;Wien;1210;21;11;Nein, ;WEG  Fillenbaumgasse 41-43 1210 Wien
IMV;Fillgradergasse 12-14;Schönngasse 8;Wien;1060;6;4;;DDR. Michael Tojner ATU12038800   
IMV;Fillgradergasse 15;Schopenhauerstraße 82, Josef Pressl Hof;Wien;1060;6;04 10;;ATU60986008 WEG Fillgradergasse 15 1060 Wien
Bewog;Firmiangasse 22-24;Schottenfeldgasse 20;Wien;1130;13;nz;; An die Hausinhabung des Hauses Firmiangasse 22-24 1130 Wien
Buwog FM;Fischhof 3/Rotgasse 9/Bauernmarkt 22;Schottenring 30;Wien;1010;1;7;;Aedificio LiegenschaftsvermietungsgesmbH und BeteiligungsgesmbH & Co Fischhof 3 KEG   
Schönere Zukunft1;Flachsweg 38;Schrickerstraße 30;Wien;1220;22;11;;    
Arealis;Fleischmarkt 28/Postgasse 15;Schubertgasse 20;Wien;1010;1;6;; An die Hausinhabung des Hauses Fleischmarkt 28/Postgasse 15 1010 Wien
ONLINE;Floragasse 3;Schulgasse 2;Wien;1040;4;05 11;; WEG Floragasse 3 1040 Wien
IMV;Florianigasse 10;Schulhof 6;Wien;1080;8;8;;MEG  Florianigasse 10 1080 Wien
IMV;Florianigasse 73;Schüttauplatz 19-21;Wien;1080;8;04 10;;WEG Florianigasse 73    
Resag Home;Floridsdorfer Hauptstraße 43;Schwarzspanierstraße 18;Wien;1210;21;nz;; HI des Hauses Floridsdorfer Hauptstraße 43 1210 Wien
Energeia;Floridusgasse 18;Schweizertalstraße 8-10;Wien;1210;21;6;;WEG 1210, Floridusgasse 18    
Gartensiedlung;Flötzersteig 115;Schwenkgasse 10;Wien;1140;14;10;;    
Gartensiedlung;Flötzersteig 115/2;Schwenkgasse 12;Wien;;0;3;;    
Resag Home;Fluchtgasse 7;Schwenkgasse 14;Wien;1090;9;3;; WEG Fluchtgasse 7 1090 Wien
Scheer;Flurschützstraße 21;Schwenkgasse 16;Wien;1120;12;5;;Marco Lukesch Projektentwicklung GmbH    
IS Immobilien;Fockygasse 2;Schwenkgasse 18;Wien;1120;12;7;; Miteigentümergemeinschaft Fockygasse 2 1120 Wien
Schönere Zukunft1;Fr. Gföllerstraße 25-39;Schwenkgasse 20;Waidhofen/Thaya;3830;0;9;;    
Schönere Zukunft1;Fr. Gföllerstraße 41-59;Schwenkgasse 4;Waidhofen/Thaya;3830;0;9;;    
Schönere Zukunft1;Fr. Gföllerstraße 61-91;Schwenkgasse 6;Waidhofen/Thaya;3830;0;9;;    
Steinbrecher;Frankenberggasse 3;Schwenkgasse 8;Wien;1040;4;11;;An die WEG des Hauses  Frankenberggasse 3 1040 Wien
Argos;Franz Boosgasse 1;Schwertgasse 4;Wien;1130;13;04 10;; HI des Hauses Franz Boosgasse 1 1130 Wien
Buwog FM;Franz Josefs Kai 27/Rabenstrasse 8;Sechshauserstraße 11;Wien;1010;1;3;Fr. Boktanovic, 0664/3656326;IMMOFINANZ ENODIA Realitäten Vermietungs G.m.b.H.    
IMVT;Franzensbrückenstraße 26;Sechskrügelgasse 14;Wien;1020;2;05 11;Nein, ; Constantia Privatbank AG   
Arealis;Franzensbrückenstraße 5;Seeböckgasse 34;Wien;1020;2;7;; An die Hausinhabung des Hauses Franzensbrückenstraße 5 1020 Wien
IMV;Franzensgasse 14;Seegasse 13;Wien;1050;5;11;;WEG Franzensgasse 14    
Arealis;Franz-Jonas-Platz 2-3;Seidengasse 14;Wien;1210;21;7;; An die Hausinhabung des Hauses Franz-Jonas-Platz 2-3 1210 Wien
Otto;Franz-Jonas-Platz 8;Semperstraße 37;Wien;1210;21;10;;Koch Immobilien Theobaldgasse GmbH & Co OG    
Marktgemeinde;Franz-Josef-Straße 76;Siebenbrunnengasse 37;Maria Enzersdorf;2344;0;04 10;;Kindergarten, Hort, Turnsaal    
Arealis;Franzosengraben 12;Simmeringer Hauptstraße 107;Wien;1030;3;6;;An die Hausinhabung des Hauses  Franzosengraben 12 1030 Wien
IS Immobilien;Frauengasse 10/10a;Sollingergasse 4;Wien;1170;17;5;;Hausinhabung    
Energeia;Frauengasse 9-11/Weissgasse 14;Sommerergasse 11A-1;Wien;1170;17;5;;MEG 1170, Frauengasse 9-11    
Hödl;Freudstraße 208;Sonnenfelsgasse 17;Neulengbach;3040;0;4;;    
Schönere Zukunft;Friedensgasse 1;Sonnenhang 15-23;Zistersdorf;2225;;nz;Fr. Freuendorfer, 02572/20660;WEG  Friedensgasse 1 2225 Zistersdorf
Schönere Zukunft;Friedensgasse 2;Sonnenhang 26;Zistersdorf;2225;;nz;Fr. Freuendorfer, ;WEG  Friedensgasse 2 2225 Zistersdorf
Schönere Zukunft;Friedensgasse 3;Sonnleiten 21-25;Zistersdorf;2225;;nz;Fr. Freuendorfer, ;WEG  Friedensgasse 3 2225 Zistersdorf
Schönere Zukunft;Friedensgasse 4;Spandlgasse 68;Zistersdorf;2225;;nz;Fr. Freuendorfer, ;WEG  Friedensgasse 4 2225 Zistersdorf
Schönere Zukunft;Friedensgasse 6;Speisinger Straße 207-209;Niederösterreich;2225;;nz;Nein, ;WEG  Friedensgasse 6 2225 Zistersdorf
Schönere Zukunft;Friedensgasse 8;Spiegelgasse 13;Zistersdorf;2225;;10;Hr. Hitter, 0660/4614155;WEG  Friedensgasse 8 2225 Zistersdorf
Berthold;Friedensstraße  58;Spinnereigasse 8e;Wien;1230;23;nz;;Hausinhabung    
Diverse;Friedhofgasse 3;Spittelauer Platz 4;Prottes;2242;0;3;;    
Schönere Zukunft1;Friedhofsweg 1-3 Haus 1-4;St. Georg Platz 4;Litschau;3874;0;6;;    
ONLINE;Friedmanngasse 13;Staatsbahnstraße 102;Wien;1160;16;nz;;MIKU - Vermögensanlagen GmbH    
Besitztum;Friedrich-Kaiser-Gasse 21;Staatsbahnstraße 98;Wien;1160;16;6;Hr. Zündel, 0664/6405552; Hausinhabung des Hauses Friedrich-Kaiser-Straße 21 1160 Wien
IS Immobilien;Füchselhofgasse 3;Stadlmaiergasse 24-27;Wien;1120;12;7;;ATU61270699 Miteigentümergemeinschaft Füchselhofgasse 3 1120 Wien
IMV;Fuhrmannsgasse 11;Stammersdorfer Straße 137;Wien;1080;8;11;;An die WEG des Hauses  Fuhrmannsgasse 11 1080 Wien
IS Immobilien;Fuhrmannsgasse 8;Staudgasse 35;Wien;1080;8;10;; Miteigentümergemeinschaft Fuhrmannsgasse 8 1080 Wien
Reichhart;Fürst Liechtenstein-Straße 5;Staudgasse 81;Wien;1230;23;11;;    
HV Zickler;Gabelsbergergasse 5;Stefan Fadinger Straße 26;Wien;1020;2;nz;; Hausinhabung Gabelsbergergasse 5 1020 Wien
Novak;Gablenzgasse 28;Steingasse 6-8;Wien;1160;16;nz;; Hausinhabung Gablenzgasse 28 1160 Wien
IMV;Gallgasse 68;Steinhäusl 85;Wien;1130;13;3;;WEG  Gallgasse 68 1130 Wien
IMV;Gallgasse 8;Sternwartestraße 17;Wien;1130;13;nz;Nein, ;Dr. Petrikovics und Dr. Kraus    
Faltis;Gallitzinstraße 50;Stockerauer Straße 26;Wien;1160;16;8;;WE-Gemeinschaft  Gallitzinstraße 50 1160 Wien
Kager;Gallmeyergasse 3;Stolberggasse 42/Spengergasse 25;Wien;1190;19;11;; Hausinhabung Gallmeyergasse 3 1190 Wien
Schönere Zukunft1;Ganghofergasse 23-25a;Strehlgasse 20;Wien;1110;11;3;Nein, ;    
;Ganglbauergasse 36-38;Strozzigasse 12;Wien;1160;16;nz;; Uni Credit Bank Austria AG   
;Garbergasse 12;Strozzigasse 18-20;Wien;1060;6;nz;; Miteigentümergemeinschaft Garbergasse 12 1060 Wien
Heinlein;Garbergasse 9;Stubenring 4;Wien;1060;6;11;;Hausinhabung Dr. Heinlein   
;Garnisongasse 6/Frankgasse 3;Stumpergasse 3;Wien;1090;9;nz;;Friesca Holding GmbH    
Arealis;Gartengasse 1/Siebenbrunnengasse 10;Taubstummengasse 13;Wien;1050;5;7;; An die Hausinhabung des Hauses Gartengasse 1/Siebenbrunnergasse 10 1050 Wien
IMV;Gärtnergasse 15;Taubstummengasse 15;Wien;1030;3;11;Ja, ; WEG Gärtnergasse 15   
Resag Home;Gärtnergasse 4;Teesdorferstraße 9;Wien;1030;3;7;;An die HI des Hauses  Gärtnergasse 4 1030 Wien
Conwert;Gärtnergasse 7;Thaliastraße 107;Wien;1030;3;nz;; HI des Hauses Gärtnergasse 15 1030 Wien
Arealis;Gasgasse 1-7;Thaliastraße 85/Brüßlgasse 38-42;Wien;1150;15;11;;An die Hausinhabung des Hauses  Gasgasse 1-7 1150 Wien
IMV;Gassergasse 32;Theresiengasse 13;Wien;1050;5;3;;ATU60534933 WALTER IMMOREAL LKW Walter AG  Co OHG   
Neue HV Wutzl;Gaswerkstraße 12 a-c;Tivoligasse 63;Krems;3500;;nz;Fr. Haselmann, 02732/74459;WEG  Gaswerkstraße 12 a-c 3500 Krems
IMV;Gatterederstraße 6a;Tivoligasse 65;Wien;1230;23;3;;WEG Gatterederstraße 6a, 1230 Wien    
Neues Leben;Gatterholzgasse 11;Tivoligasse 67;Wien;1120;12;7;;ID-Nr.: 62175  Gatterholzgasse 11 1120 Wien
Arealis;Gatterholzgasse 13;Tivoligasse 69;Wien;1120;12;7;;An die WEG des Hauses  Gatterholzgasse 13 1120 Wien
Resag Home;Gaudenzdorfer Gürtel 13/Steinbauergasse;Tivoligasse 71;Wien;1120;12;nz;; HI des Hauses Gaudenzdorfer Gürtel 13 1120 Wien
Buwog FM;Gaudenzdorfer Gürtel 67/Seumgassse 5;Toldgasse 4;Wien;1120;12;4;;HL Bauprojekt GmbH    
ONLINE;Gaullachergasse 14;Triesenegg 207-210;Wien;1160;16;nz;;MIKU Vermögensanlagen GmbH & Co KEG    
PCC;Gaullachergasse 25;Ungargasse 37;Wien;1160;16;7;; Hausinhabung Gaullachergasse 25 1160 Wien
Schönere Zukunft1;Gebauergasse 301-303/Stg. 1-4;Untere Hauptstraße 101-103/1-3;Neulengbach;3040;0;03 06 09 11;;    
Schönere Zukunft;Gebauergasse 301-303/Stg. 5+6;Unter-Meidlinger Straße 95;Neulengbach;3040;0;05 11;;    
IMV;Geblergasse 38+40;Unterwagramerstraße 36-40;Wien;1170;17;5;;Immobilientreuhand GmbH & Co KG Dr. Jelitzka+Partner Vermögensbeteiligung   
IS Immobilien;Geblergasse 62;Utendorfgasse 29;Wien;1170;17;nz;;Dr. Norbert Prammer  Geblergasse 62 1170 Wien
Buwog FM;Geiselbergstraße 17-19;Utendorfgasse 33;Wien;1110;11;6;;UID: ATU52713005 Infinitas Projektentwicklungs GmbH (ICP)   
Buwog FM;Geiselbergstraße 17-19 Gullys;Veronikagasse 34;Wien;1110;11;7;; Infinitas Projektentwicklungs GmbH   
Buwog FM;"Geiselbergstraße 26-32 ""Alpha Factory""";Viehtriftgasse 6/Gerspergasse 9;Wien;1110;11;8;, 0664/3929054;Geiselbergstraße 30-32 Immobilienbewirtschaftungsges.m.b.H   
Resag Business;Gellertgasse 29;Viktorgasse 12a;Wien;1100;10;7;;MEG des Hauses Gellertgasse 29    
IS Immobilien;Gellertgasse 36;Viktorgasse 17;Wien;1100;10;7;; Dkfm. Kolarik, 1100 Wien, Gellertgasse 36   
IMV;Gellertgasse 38;Vogelsangweg 1/Mörbischerstr. 4 Stg. 5-8;Wien;1100;10;10;Nein, ; Just Werner und Helmut Ing.   
IMV;Gentzgasse 122;Wachaustraße 23;Wien;1180;18;04 10;Nein, ;" ""Objekt Genzgasse 122"" ARGOS Treuhand GmbH & Co KEG   "
IMV;Gentzgasse 160;Währingerstraße 146/Argauergasse 2;Wien;1180;18;05 11;; WEG Gentzgasse 160   
HV Zickler;Gentzgasse 74-76;Währingerstraße 75/Semperstraße 16-18;Wien;1180;18;6;;HI des Hauses  Gentzgasse 74-76 1180 Wien
Eisenstädter;Georgistraße 34, 36, 36a, 32b, 32a,;Waldweg 37;Eisenstadt;7000;0;nz;Fr. Holzhammer, 0676/9412570;    
Rupertus;Georg-Sigl-Gasse 10;Wassergasse 30/Hainburgerstraße 26;Wien;1090;9;3;; Mag. Nikola Mensdorff-Pouilly   
Arealis;Gerasdorferstraße 133;Wattgasse 54/Lobenhauerngasse 40;Wien;1210;21;8;;An die Hausinhabung des Hauses  Gerasdorferstraße 133 1210 Wien
Sozialbau;Gerasdorferstraße 153 /Haus 114;Wattmanngasse 104;Wien;1210;21;nz;;Hausinhabung    
Schönere Zukunft1;Gerhard Hauptmannstraße 4;Webergasse 1-11;Stockerau;2000;;nz;Nein, ;    
Schönere Zukunft;Gerhard Hauptmannstraße 6;Webergasse 13-27;Stockerau;2000;;nz;Nein, ;WEG  Gerhart Hauptmannstraße 6 2000 Stockerau
Sozialbau;Gerichtsgasse 1/Stiege 1-15;Webergasse 18-28;Wien;1210;21;nz;;    
Sozialbau;Gerichtsgasse 1/Stiege 16-18;Webergasse 6-16;Wien;1210;21;nz;;    
Resag Home;Gernotgasse 7;Weidlingerstraße 4;Wien;1150;15;03 06 09 11;;Hi des Hauses  Gernotgasse 7 1150 Wien
Resag Home;Gernotgasse 9;Weidmanngasse 25;Wien;1150;15;03 06 09 11;;Hi des Hauses  Gernotgasse 9 1150 Wien
IMV;Gerspergasse 9;Weindorfergasse 10;Wien;1210;21;7;Fr. Frosch, ;WEG Gerspergasse 9    
IMV;Gersthofer Straße 111;Weintraubengasse 14;Wien;1180;18;05 11;;WEG Gersthofer Straße 111    
Buwog FM;Gersthoferstrasse 119;Weißgerberlände 44-46;Wien;1180;18;3;Fr. Gränzmann, 01/4702013;Immofinanz Enodia Realitäten Vermietungs GmbH    
Gersthof;Gersthoferstraße 25;Weißgerberlände 52;Wien;1180;18;nz;Fr. Sülz, 0699/12205899; Hausinhabung des Hauses Gersthoferstraße 25 1180 Wien
IMV;Gersthoferstraße 30;Westbahnstraße 11-13;Wien;1180;18;3;;WEG 1180 Wien, Gersthofer Straße 30    
Arealis;Gersthoferstrasse 63;Weyrerstraße 16/Stiege 1;Wien;1180;18;3;Nein, ; An die Hausinhabung des Hauses Gersthoferstraße 63 1180 Wien
Resag Home;Gerstnerstraße 1/Mariahilfer Straße 134;Weyrerstraße 16/Stiege 2+3;Wien;1150;15;3;; WEG Gerstnerstraße 1/Mariahilfer Straße 134 1150 Wien
;Getreidemarkt 10;Weyrerstraße 21;Wien;1010;1;nz;Fr. Blagojewitsch, 01/5858015;Hötzl Andreas    
ONLINE;Getreidemarkt 15;Weyringergasse 38;Wien;1060;6;5;;Schilling Immobilienmanagement GmbH & Co Getreidemarkt 15 KG Getreidemarkt 15 1060 Wien
IMVT;Getreidemarkt 2-4;Wickenburggasse 26;Wien;1010;1;04 10;;WEG  Getreidemarkt 2-4 1010 Wien
Resag Home;Geusaugasse 39;Wiener Straße 4;Wien;1030;3;3;; WEG Geusaugasse 39 1030 Wien
IMVT;Gewerbeparkstraße 12;Wienerbergstraße 11 Vienna Twin Tower;Wien;1220;22;nz;;FUTUR Immobilien GmbH    
Neues Leben;Geylinggasse 15-17;Wienerstraße 169;Wien;1130;13;11;;An die WEG des Hauses  Geylinggasse 15-17 1130 Wien
Arealis;Geylinggasse 2-4;Wipplingerstraße 24-26;Wien;1130;13;8;;An die Hausinhabung des Hauses  Geylinggasse 2-4 1130 Wien
IMV;Gfrornergasse 10;Wittgensteinstraße 10;Wien;1070;7;6;;WEG Gfrornergasse 10    
IS Immobilien;Gfrornergasse 11;Witzelsbergergasse 8;Wien;1060;6;8;;ATU58827103 Ing. Huf   
IS Immobilien;Gfrornergasse 13;Wohnparkstraße 10;Wien;1060;6;8;;ATU58555815 Miteigentümergemeinschaft Gfrornergasse 13 1060 Wien
IS Immobilien;Gfrornergasse 9;Wohnparkstraße 6+8;Wien;1060;6;8;;ATU57341629 Miteigentümergemeinschaft Gfrornergasse 9 1060 Wien
Buwog FM;Ghegastraße 3;Wollzeile 36/6;Wien;1030;3;4;;IMMOFINANZ Ismene Immobilien Vermietungs GmbH ATU39862403   
Resag Home;Gierstergasse 1;Wollzeile 36/7;Wien;1120;12;nz;;HI des Hauses Gierstergasse 1   
IMV;Gießhüblergasse 62;Woltergasse 3;Maria Enzersdorf;2344;0;8;; WEG Gießhüblergasse 62   
IMV;Gilgegasse 7;Würzburggasse 20;Wien;1090;9;04 10;;WEG Gilgegasse 7    
Resag Home;Girardigasse 1/Linke Wienzeile 22;Ybbsstraße 29/Stefan Fadingerstraße 4-8;Wien;1060;6;nz;; HI des Hauses Girardigasse 1/Linke Wienzeile 22 1030 Wien
Salzner;Girardigasse 2;Zahnradbahnstraße 5;Wien;1060;6;3;;WEG  Girardigasse 2 1060 Wien
Santner;Girardigasse 8;Zedlitzgasse 7/2;Wien;1060;6;nz;Nein, ;Univ. Prof. Dr. Bernhard Schwaighofer    
Thimm;Glasergasse 19;Zentagasse 40-42;Wien;1090;9;nz;; Hausinhabung des Hauses Glasergasse 19 1090 Wien
Palladio;Glockengasse 1;Zeuggasse 1-3;Wien;1020;2;03 07 11;;IRZ Liegenschaftsverwertung GmbH    
Resag Home;Glorietteallee 3;Zieglergasse 78;Wien;7000;0;4;;An die HI des Hauses  Glorietteallee 3 7000 Eisenstadt
Fröhlichsthal;Gloriettegasse 22;Zinckgasse 15+17;Wien;1130;13;nz;;    
MB;Glorittegasse 20;Zirkusgasse 28;Wien;1130;13;11;;An die HI des Hauses  Gloriettegasse 20 1130 Wien
Schönere Zukunft1;Gmünderstraße 60 Stiege 1-3;Zollergasse 13;Ehrendorf;3950;0;6;;    
IMV;Goldeggasse 2;Zollergasse 9-11;Wien;1040;4;05 11;; 1040 Wien, Goldeggasse 2 GesmbH & Co OG   
;Goldeggasse 25;Zollgasse 3/Babenbergerstraße 47;Wien;1040;4;nz;; CITIM Immobilieninvest GmbH   
Salzner;Goldeggasse 26;Zuckerkandlgasse 14;Wien;1040;4;3;;WEG  Goldeggasse 26 1040 Wien
Besitztum;Goldeggasse 27;Zwinzstraße 5-7;Wien;1040;4;7;Fr. Kampe, 0650/3337227; Hausinhabung Goldeggasse 27 1040 Wien
IMV;Goldeggasse 4;;Wien;1040;4;6;;    
Arealis;Goldschlagstraße 114;;Wien;1150;15;11;;An die WEG des Hauses  Goldschlagstraße 114 1150 Wien
IMV;Goldschlagstraße 40;;Wien;1150;15;4;;PREMIUM Goldschlagstraße 40 GmbH  Co KG ATU61527903   
IMV;Gonzagagasse 15;;Wien;1010;1;5;;AAP Liegenschaftsvermietung GmbH UID-Nummer: ATU59064309   
Schauersberg;Gonzagagasse 17;;Wien;1010;1;nz;Nein, ;MM-Immobilien Invest GmbH    
Schauersberg;Gonzagagasse 17 Fenster;;Wien;1010;1;nz;Nein, ;MM-Immobilien Invest GmbH    
Miba;Gonzagagasse 17 Top 20;;Wien;1010;1;nz;; Fam. Mitterbauer Gonzagagasse 17 Top 20 1010 Wien
Schauersberg;Gonzagagasse 19;;Wien;1010;1;nz;Nein, ;MM-Immobilien Invest GmbH    
Arealis;Gottfried Keller Gasse 13;;Wien;1030;3;7;; An die Hausinhabung des Hauses Gottfried Keller Gasse 13 1030 Wien
IMV;Gottschalkgasse 11;;Wien;1110;11;4;; Premium Gottschalkgasse 11 GmbH & Co KG   
IMV;Gottschalkgasse 5;;Wien;1110;11;4;;"""Objekt Gottschalkgasse 5"" Liegenschaftsverwaltung ATU57861157   "
ONLINE;Graben 30;;Wien;1010;1;6;;Palmers AG    
Örag;Graf Starhemberggasse 4;;Wien;1040;4;nz;;Wüstenrot Versicherungs AG    
Örag;Graf Starhemberggasse 6;;Wien;1040;4;nz;;Wüstenrot Versicherungs AG    
PCC;Graf-Starhemberg-Gasse 28;;Wien;1040;4;9;; Hausinhabung Graf Starhemberggasse 28 1040 Wien
Neues Leben;Gratian Marxgasse 6;;Wien;1110;11;nz;;Auftrag Nr. 65905  Gratian Marxgasse 6 1110 Wien
Heimat Österreich;Gregor Kirchner Straße 20;;Breitenfurt;2384;0;05 11;; EG des Hauses Gregor Kirchner Straße 20 2384 Breitenfurt
HV Zickler;Gregor-Mendel-Straße 15;;Wien;1180;18;nz;;Wohnungseigentümergemeinschaft  Gregor-Mendel-Straße 15 1180 Wien
IMV;Grimmelshausengasse 12;;Wien;1030;3;7;; WEG Grimmelshausengasse 12   
IS Immobilien;Grimmgasse 7-9;;Wien;1150;15;4;;Jörg Philipp  Grimmgasse 7-9 1150 Wien
Santner;Grinzinger Allee 15;;Wien;1190;19;nz;;HI des Hauses  Grinzinger Allee 15 1190 Wien
Resag Home;Grinzinger Allee 17;;Wien;1190;19;05 11;;HI des Hauses  Grinzinger Allee 17 1190 Wien
Sabo;Grinzinger Allee 27;;Wien;1190;19;04 10;;WEG Grinzinger Allee 27    
;Grinzinger Allee 36;;Wien;1190;19;nz;;HI des Hauses  Grinzinger Allee 36 1190 Wien
IMV;Grinzinger Allee 72;;Wien;1190;19;05 11;Nein, ; WEG Grinzinger Allee 72   
IMV;Grinzinger Allee 74;;Wien;1190;19;05 11;Nein, ; WEG Grinzinger Allee 74   
Resag Home;Grinzinger Straße 149a;;Wien;1190;19;5;;WEG des Hauses  Grinzinger Straße 149a 1190 Wien
Hitschmann;Grinzinger Straße 25;;Wien;1190;19;11;;    
IMV;Grinzinger Straße 89;;Wien;1190;19;05 11;;WEG Grinzinger Straße 89    
Buwog FM;Grinzingerstraße 70;;Wien;1190;19;10;;WEG 1190 Wien, Grinzinger Straße 70    
Arealis;Grohgasse 3;;Wien;1050;5;6;; An die WEG Grohgasse 3 1050 Wien
;Große Mohrengasse 35;;Wien;1020;2;nz;; HI des Hauses Große Mohrengasse 35 1020 Wien
Salzner;Große Pfarrgasse 21;;Wien;1020;2;3;;MEG des Hauses  Große Pfarrgasse 21 1020 Wien
Schönere Zukunft;Große Pfarrgasse 26;;Wien;1020;2;9;;WEG  Große Pfarrgasse 26 1020 Wien
Resag Home;Große Schiffgasse 18;;Wien;1020;2;nz;; HI des Hauses Große Schiffgasse 18 1020 Wien
;Große Schiffgasse 9;;Wien;1020;2;nz;;ESCENDO Liegenschaftshandels- gesellschaft m.b.H & Co KEG   
Gin;Grosserweg 6;;Wien;1220;22;05 11;Hr. Kriz, 0664/2148217;    
proVentus;Grundsteingasse 14;;Wien;1160;16;5;; WEG 1160 Wien, Grundsteingasse 14   
Gartensiedlung;Grüne Stube 1-20;;Wien;1140;14;05 11;;    
IS Immobilien;Gschwandnergasse 37;;Wien;1170;17;6;; MEG 17.,Gschwandnergasse 37   
PCC;Gschwandnergasse 47;;Wien;1170;17;6;; WEG 0171 Gschwandnergasse 47 1170 Wien
Buwog FM;Gudrunstraße 177;;Wien;1100;10;7;;REVIVA Immobilien AG    
ImmoW16;Gumpendorfer Straße 114a;;Wien;1060;6;11;;An die Hausinhabung des Hauses  Gumpendorfer Straße 114a 1060 Wien
HV Zickler;Gumpendorfer Straße 135;;Wien;1060;6;9;;An die WEG  Gumpendorfer Straße 135 1060 Wien
IMV;Gumpendorfer Straße 5+5a;;Wien;1060;6;4;;ATU 28608502 Ärztekammer Steiermark   
Scheer;Gumpendorferstr. 28;;Wien;1060;6;6;, 0660/5810250; Hausinhabung Gumpendorferstr. 28 1060 Wien
IMV;Gumpendorferstraße 11-13;;Wien;1060;6;10;;WEG Gumpendorferstraße 11-13    
Imv;Gumpendorferstraße 121;;Wien;1060;6;3;;WEG Gumpendorfer Straße 121    
Argos;Gumpendorferstraße 16;;Wien;1060;6;05 11;; HI des Hauses Gumpendorferstraße 16 1060 Wien
